fecha_vuelo,temperatura_media,precipitacion,viento_max,origen
2022-01-01,2.7,11.7,36.6,ABQ
2022-01-02,-4.8,0.0,20.6,ABQ
2022-01-03,-2.3,0.0,10.5,ABQ
2022-01-04,0.7,0.0,10.4,ABQ
2022-01-05,2.6,0.0,12.3,ABQ
2022-01-06,3.7,0.0,13.4,ABQ
2022-01-07,5.1,0.0,13.7,ABQ
2022-01-08,6.2,0.0,15.2,ABQ
2022-01-09,3.4,0.0,11.5,ABQ
2022-01-10,0.7,0.0,13.5,ABQ
2022-01-11,2.1,0.0,13.2,ABQ
2022-01-12,2.8,0.0,24.1,ABQ
2022-01-13,4.4,0.0,14.4,ABQ
2022-01-14,6.8,0.0,26.4,ABQ
2022-01-15,2.1,0.0,16.7,ABQ
2022-01-16,2.8,0.0,17.0,ABQ
2022-01-17,3.1,0.0,13.4,ABQ
2022-01-18,5.3,0.1,10.2,ABQ
2022-01-19,4.9,0.4,21.7,ABQ
2022-01-20,2.5,0.1,23.3,ABQ
2022-01-21,2.2,0.0,13.3,ABQ
2022-01-22,3.8,0.0,40.0,ABQ
2022-01-23,3.4,0.0,17.7,ABQ
2022-01-24,4.4,0.0,17.3,ABQ
2022-01-25,4.7,0.0,56.0,ABQ
2022-01-26,2.2,1.6,49.1,ABQ
2022-01-27,1.2,1.1,19.4,ABQ
2022-01-28,0.8,0.9,19.1,ABQ
2022-01-29,1.4,0.0,13.5,ABQ
2022-01-30,2.4,0.0,11.6,ABQ
2022-01-31,3.3,0.0,13.1,ABQ
2022-02-01,5.7,0.0,13.2,ABQ
2022-02-02,0.3,6.7,38.9,ABQ
2022-02-03,-7.3,0.7,25.7,ABQ
2022-02-04,-7.1,0.0,10.2,ABQ
2022-02-05,-4.2,0.0,13.0,ABQ
2022-02-06,-1.7,0.0,13.7,ABQ
2022-02-07,-1.3,0.0,10.3,ABQ
2022-02-08,0.9,0.0,21.3,ABQ
2022-02-09,2.7,0.0,16.0,ABQ
2022-02-10,3.8,0.0,14.8,ABQ
2022-02-11,6.2,0.0,21.6,ABQ
2022-02-12,4.1,0.0,31.3,ABQ
2022-02-13,4.5,0.0,11.7,ABQ
2022-02-14,5.5,0.0,11.2,ABQ
2022-02-15,7.8,0.0,21.6,ABQ
2022-02-16,7.1,0.3,38.8,ABQ
2022-02-17,2.5,6.5,26.3,ABQ
2022-02-18,1.7,0.0,16.5,ABQ
2022-02-19,3.5,0.0,14.5,ABQ
2022-02-20,6.6,0.0,13.6,ABQ
2022-02-21,8.7,0.0,26.5,ABQ
2022-02-22,6.9,0.0,26.2,ABQ
